"id_estado_municipio","estado","descripcion_estado","municipio","descripcion_municipio"
48409015,9,"CIUDAD DE MÉXICO",15,"CUAUHTEMOC"
48409016,9,"CIUDAD DE MÉXICO",16,"MIGUEL HIDALGO"
48409017,9,"CIUDAD DE MÉXICO",17,"VENUSTIANO CARRANZA"
48410001,10,"DURANGO",1,"CANATLAN"
48410002,10,"DURANGO",2,"CANELAS"
48410003,10,"DURANGO",3,"CONETO DE COMONFORT"
48410004,10,"DURANGO",4,"CUENCAME"
48410005,10,"DURANGO",5,"DURANGO"
48410006,10,"DURANGO",6,"GENERAL SIMON BOLIVAR"
48410007,10,"DURANGO",7,"GOMEZ PALACIO"
48410008,10,"DURANGO",8,"GUADALUPE VICTORIA"
48410009,10,"DURANGO",9,"GUANACEVI"
48410010,10,"DURANGO",10,"HIDALGO"
48410011,10,"DURANGO",11,"INDÉ"
48410012,10,"DURANGO",12,"LERDO"
48410013,10,"DURANGO",13,"MAPIMÍ"
48410014,10,"DURANGO",14,"MEZQUITAL"
48410015,10,"DURANGO",15,"NAZAS"
48410016,10,"DURANGO",16,"NOMBRE DE DIOS"
48410017,10,"DURANGO",17,"OCAMPO"
48410018,10,"DURANGO",18,"EL ORO"
48410019,10,"DURANGO",19,"OTAEZ"
48410020,10,"DURANGO",20,"PANUCO DE CORONADO"
48410021,10,"DURANGO",21,"PEÑON BLANCO"
48410022,10,"DURANGO",22,"POANAS"
48410023,10,"DURANGO",23,"PUEBLO NUEVO"
48410024,10,"DURANGO",24,"RODEO"
48410025,10,"DURANGO",25,"SAN BERNARDO"
48410026,10,"DURANGO",26,"SAN DIMAS"
48410027,10,"DURANGO",27,"SAN JUAN DE GUADALUPE"
48410028,10,"DURANGO",28,"SAN JUAN DEL RIO"
48410029,10,"DURANGO",29,"SAN LUIS DEL CORDERO"
48410030,10,"DURANGO",30,"SAN PEDRO DEL GALLO"
48410031,10,"DURANGO",31,"SANTA CLARA"
48410032,10,"DURANGO",32,"SANTIAGO PAPASQUIARO"
48410033,10,"DURANGO",33,"SUCHIL"
48410034,10,"DURANGO",34,"TAMAZULA"
48410035,10,"DURANGO",35,"TEPEHUANES"
48410036,10,"DURANGO",36,"TLAHUALILO"
48410037,10,"DURANGO",37,"TOPIA"
48410038,10,"DURANGO",38,"VICENTE GUERRERO"
48410039,10,"DURANGO",39,"NUEVO IDEAL"
48411001,11,"GUANAJUATO",1,"ABASOLO"
48411002,11,"GUANAJUATO",2,"ACAMBARO"
48411003,11,"GUANAJUATO",3,"SAN MIGUEL DE ALLENDE"
48411004,11,"GUANAJUATO",4,"APASEO EL ALTO"
48411005,11,"GUANAJUATO",5,"APASEO EL GRANDE"
48411006,11,"GUANAJUATO",6,"ATARJEA"
48411007,11,"GUANAJUATO",7,"CELAYA"
48411008,11,"GUANAJUATO",8,"MANUEL DOBLADO"
48411009,11,"GUANAJUATO",9,"COMONFORT"
48411010,11,"GUANAJUATO",10,"CORONEO"
48411011,11,"GUANAJUATO",11,"CORTAZAR"
48411012,11,"GUANAJUATO",12,"CUERAMARO"
48411013,11,"GUANAJUATO",13,"DOCTOR MORA"
48411014,11,"GUANAJUATO",14,"DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL"
48411015,11,"GUANAJUATO",15,"GUANAJUATO"
48411016,11,"GUANAJUATO",16,"HUANIMARO"
48411017,11,"GUANAJUATO",17,"IRAPUATO"
48411018,11,"GUANAJUATO",18,"JARAL DEL PROGRESO"
48411019,11,"GUANAJUATO",19,"JERECUARO"
48411020,11,"GUANAJUATO",20,"LEON"
48411021,11,"GUANAJUATO",21,"MOROLEON"
48411022,11,"GUANAJUATO",22,"OCAMPO"
48411023,11,"GUANAJUATO",23,"PENJAMO"
48411024,11,"GUANAJUATO",24,"PUEBLO NUEVO"
48411025,11,"GUANAJUATO",25,"PURISIMA DEL RINCON"
48411026,11,"GUANAJUATO",26,"ROMITA"
48411027,11,"GUANAJUATO",27,"SALAMANCA"
48411028,11,"GUANAJUATO",28,"SALVATIERRA"
48411029,11,"GUANAJUATO",29,"SAN DIEGO DE LA UNION"
48411030,11,"GUANAJUATO",30,"SAN FELIPE"
48411031,11,"GUANAJUATO",31,"SAN FRANCISCO DEL RINCON"
48411032,11,"GUANAJUATO",32,"SAN JOSE ITURBIDE"
48411033,11,"GUANAJUATO",33,"SAN LUIS DE LA PAZ"
48411034,11,"GUANAJUATO",34,"SANTA CATARINA"
48411035,11,"GUANAJUATO",35,"SANTA CRUZ DE JUVENTINO ROSAS"
48411036,11,"GUANAJUATO",36,"SANTIAGO MARAVATIO"
48411037,11,"GUANAJUATO",37,"SILAO DE LA VICTORIA"
48411038,11,"GUANAJUATO",38,"TARANDACUAO"
48411039,11,"GUANAJUATO",39,"TARIMORO"
48411040,11,"GUANAJUATO",40,"TIERRA BLANCA"
48411041,11,"GUANAJUATO",41,"URIANGATO"
48411042,11,"GUANAJUATO",42,"VALLE DE SANTIAGO"
48411043,11,"GUANAJUATO",43,"VICTORIA"
48411044,11,"GUANAJUATO",44,"VILLAGRAN"
48411045,11,"GUANAJUATO",45,"XICHU"
48411046,11,"GUANAJUATO",46,"YURIRIA"
48412001,12,"GUERRERO",1,"ACAPULCO DE JUAREZ"
48412002,12,"GUERRERO",2,"AHUACUOTZINGO"
48412003,12,"GUERRERO",3,"AJUCHITLAN DEL PROGRESO"
48412004,12,"GUERRERO",4,"ALCOZAUCA DE GUERRERO"
48412005,12,"GUERRERO",5,"ALPOYECA"
48412006,12,"GUERRERO",6,"APAXTLA"
48412007,12,"GUERRERO",7,"ARCELIA"
48412008,12,"GUERRERO",8,"ATENANGO DEL RIO"
48412009,12,"GUERRERO",9,"ATLAMAJALCINGO DEL MONTE"
48412010,12,"GUERRERO",10,"ATLIXTAC"
48412011,12,"GUERRERO",11,"ATOYAC DE ALVAREZ"
48412012,12,"GUERRERO",12,"AYUTLA DE LOS LIBRES"
48412013,12,"GUERRERO",13,"AZOYU"
48412014,12,"GUERRERO",14,"BENITO JUAREZ"
48412015,12,"GUERRERO",15,"BUENAVISTA DE CUELLAR"
48412016,12,"GUERRERO",16,"COAHUAYUTLA DE JOSE MARIA IZAZAGA"
48412017,12,"GUERRERO",17,"COCULA"
48412018,12,"GUERRERO",18,"COPALA"
48412019,12,"GUERRERO",19,"COPALILLO"
48412020,12,"GUERRERO",20,"COPANATOYAC"
48412021,12,"GUERRERO",21,"COYUCA DE BENITEZ"
48412022,12,"GUERRERO",22,"COYUCA DE CATALAN"
48412023,12,"GUERRERO",23,"CUAJINICUILAPA"
48412024,12,"GUERRERO",24,"CUALAC"
48412025,12,"GUERRERO",25,"CUAUTEPEC"
48412026,12,"GUERRERO",26,"CUETZALA DEL PROGRESO"
48412027,12,"GUERRERO",27,"CUTZAMALA DE PINZON"
48412028,12,"GUERRERO",28,"CHILAPA DE ALVAREZ"
48412029,12,"GUERRERO",29,"CHILPANCINGO DE LOS BRAVO"
48412030,12,"GUERRERO",30,"FLORENCIO VILLARREAL"
48412031,12,"GUERRERO",31,"GENERAL CANUTO A. NERI"
48412032,12,"GUERRERO",32,"GENERAL HELIODORO CASTILLO"
48412033,12,"GUERRERO",33,"HUAMUXTITLAN"
48412034,12,"GUERRERO",34,"HUITZUCO DE LOS FIGUEROA"
48412035,12,"GUERRERO",35,"IGUALA DE LA INDEPENDENCIA"
48412036,12,"GUERRERO",36,"IGUALAPA"
48412037,12,"GUERRERO",37,"IXCATEOPAN DE CUAUHTEMOC"
48412038,12,"GUERRERO",38,"ZIHUATANEJO DE AZUETA"
48412039,12,"GUERRERO",39,"JUAN R. ESCUDERO"
48412040,12,"GUERRERO",40,"LEONARDO BRAVO"
48412041,12,"GUERRERO",41,"MALINALTEPEC"
48412042,12,"GUERRERO",42,"MARTIR DE CUILAPAN"
48412043,12,"GUERRERO",43,"METLATONOC"
48412044,12,"GUERRERO",44,"MOCHITLAN"
48412045,12,"GUERRERO",45,"OLINALÁ"
48412046,12,"GUERRERO",46,"OMETEPEC"
48412047,12,"GUERRERO",47,"PEDRO ASCENCIO ALQUISIRAS"
48412048,12,"GUERRERO",48,"PETATLÁN"
48412049,12,"GUERRERO",49,"PILCAYA"
48412050,12,"GUERRERO",50,"PUNGARABATO"
48412051,12,"GUERRERO",51,"QUECHULTENANGO"
48412052,12,"GUERRERO",52,"SAN LUIS ACATLÁN"
48412053,12,"GUERRERO",53,"SAN MARCOS"
48412054,12,"GUERRERO",54,"SAN MIGUEL TOTOLAPAN"
48412055,12,"GUERRERO",55,"TAXCO DE ALARCÓN"
48412056,12,"GUERRERO",56,"TECOANAPA"
48412057,12,"GUERRERO",57,"TÉCPAN DE GALEANA"
48412058,12,"GUERRERO",58,"TELOLOAPAN"
48412059,12,"GUERRERO",59,"TEPECOACUILCO DE TRUJANO"
48412060,12,"GUERRERO",60,"TETIPAC"
48412061,12,"GUERRERO",61,"TIXTLA DE GUERRERO"
48412062,12,"GUERRERO",62,"TLACOACHISTLAHUACA"
